Nombre: 76ers | Ciudad: Philadelphia | Conferencia: East | Division: Atlantic
Nombre: Bobcats | Ciudad: Charlotte | Conferencia: East | Division: SouthEast
Nombre: Bucks | Ciudad: Milwaukee | Conferencia: East | Division: Central
Nombre: Bulls | Ciudad: Chicago | Conferencia: East | Division: Central
Nombre: Cavaliers | Ciudad: Cleveland | Conferencia: East | Division: Central
Nombre: Celtics | Ciudad: Boston | Conferencia: East | Division: Atlantic
Nombre: Hawks | Ciudad: Atlanta | Conferencia: East | Division: SouthEast
Nombre: Heat | Ciudad: Miami | Conferencia: East | Division: SouthEast
Nombre: Knicks | Ciudad: New York | Conferencia: East | Division: Atlantic
Nombre: Magic | Ciudad: Orlando | Conferencia: East | Division: SouthEast
Nombre: Nets | Ciudad: New Jersey | Conferencia: East | Division: Atlantic
Nombre: Pacers | Ciudad: Indiana | Conferencia: East | Division: Central
Nombre: Pistons | Ciudad: Detroit | Conferencia: East | Division: Central
Nombre: Raptors | Ciudad: Toronto | Conferencia: East | Division: Atlantic
Nombre: Wizards | Ciudad: Washington | Conferencia: East | Division: SouthEast
